Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/listings?page=1&limit=20,4308,0,11,14.187113625670204,6.570399971678853,266.4274999406189,9734.0,24.072858778573796,0.0,11,13,15,17,23,33,56,76,170,270,270
GET,/listings?price_lte=100,711,0,11,13.476638541243835,6.868400145322084,100.38199997507036,9734.0,3.973027528218656,0.0,11,13,15,16,21,30,47,56,100,100,100
GET,/listings?price_lte=200,739,0,11,14.882634372761693,7.093099877238274,311.96630001068115,9734.0,4.129489934393231,0.0,11,13,16,17,24,32,63,78,310,310,310
GET,/listings?price_lte=50,724,0,11,13.86281754339155,7.0223999209702015,102.01689996756613,9734.0,4.045670788228279,0.0,11,13,15,17,22,28,52,66,100,100,100
GET,/listings?price_lte=500,736,0,11,15.701904760688826,7.023600162938237,306.03330000303686,9734.0,4.11272610516024,0.0,11,13,16,17,26,36,66,82,310,310,310
GET,/listings?search=Capitol&page=1&limit=10,488,0,12,14.91149692542347,8.362900000065565,123.7262999638915,4771.0,2.7269162218997245,0.0,12,14,16,17,23,29,51,74,120,120,120
GET,/listings?search=Historic&page=1&limit=10,512,0,12,16.02227128296363,8.221199968829751,239.626299822703,4910.0,2.8610268557636456,0.0,12,14,17,20,25,35,47,56,240,240,240
GET,/listings?search=Vita&page=1&limit=10,471,0,11,13.547480893331223,7.780299987643957,126.75149994902313,406.0,2.631921189579447,0.0,11,12,14,15,20,27,51,65,130,130,130
,Aggregated,8689,0,11,14.403567845115433,6.570399971678853,311.96630001068115,8665.370698584416,48.55363740181702,0.0,11,13,15,17,23,32,54,74,200,310,310
